place_id,name,rating,total_review_count,in_window_count,fetched_count,reviews_per_month,censored,scrape_failed,unparsed_count
ChIJ04SUXjdLW4YRT6zHMRQUc1s,Central Texas Veterinary Speciality and Emergency Hospital,4,1413,21,100,7.00,false,false,0
ChIJAZbXT5i1RIYRZn_vhDTjlyQ,Honnas Veterinary,4.9,880,18,100,6.00,false,false,0
ChIJ6TOsbq9LW4YR_bV_DUE_QCc,Travis Country Veterinary Hospital,4.9,587,30,100,10.00,false,false,0
ChIJX9edYde0RIYR0D7k5XbYm8s,Parker Animal Care,4.6,830,82,100,27.33,false,false,0
ChIJAar6nKa0RIYRz0PFqWrMv6k,Capital Veterinary Clinic,4.5,431,7,100,2.33,false,false,0
ChIJ7R_41HVLW4YR_V7w_a9o-Eo,VEG ER for Pets,4.7,1030,88,100,29.33,false,false,0
ChIJN36pA2W1RIYRwqXqau3W-tE,Modern Animal South Lamar,4.8,169,13,100,4.33,false,false,0
ChIJcQQTQ-i0RIYRAjMqv3Brf1M,PAZ Veterinary South,4.6,504,15,100,5.00,false,false,0
ChIJl9TbIuu0RIYRRMSTb8Eic9s,South Congress Veterinary,4.7,196,4,100,1.33,false,false,0
ChIJLfMTFua0RIYR10J010gIjyQ,Thrive Pet Healthcare - South Lamar,4.2,637,34,100,11.33,false,false,0
ChIJBRA0MDlLW4YRrlAvyUovGdA,Westgate Pet & Bird Hospital,4.7,1084,40,100,13.33,false,false,0
ChIJbwIMkUWzRIYRG1GAvM0RAVo,Moontower Veterinary Surgery Center,4.7,257,9,100,3.00,false,false,0
ChIJsSqLAZe0RIYRfHNfl09l3As,Pet and Bird Clinic,4.2,522,15,100,5.00,false,false,0
ChIJEafEabrLRIYR8Wi8jYS505Y,Pet Specialists of Austin,4,504,42,100,14.00,false,false,0
ChIJB1taeQ61RIYRxXUpS3-agRE,Austin Urban Veterinary Center,4.9,516,8,100,2.67,false,false,0
ChIJ7YIliHK1RIYRULrIyNfoRgo,Highland's Pet Medical Clinic,4.8,164,3,100,1.00,false,false,0
ChIJ738M8d_KRIYRmJ2__Zgqxm8,Northwest Veterinary Hospital,4.8,325,3,100,1.00,false,false,0
ChIJ7SIdQVjKRIYRtW9xZ_xeyAs,North Austin Animal Hospital,4.8,629,14,100,4.67,false,false,0
ChIJ06KFmZdKW4YRGt8LJG78tIU,"Westlake Animal Hospital, A Thrive Pet Healthcare Partner",4.8,307,31,100,10.33,false,false,0
ChIJOwdS0IjLRIYRgR6mpnukC9w,Far West Veterinary Clinic,4.7,209,6,100,2.00,false,false,0
ChIJk_w8VEa1RIYRPw5CKwztvrw,Livewell Animal Hospital of Austin,4.9,401,62,100,20.67,false,false,0
ChIJT54xFvTMRIYRx2jYV_kI4Qc,Austin Pet & Exotic Hospital,4.6,493,47,100,15.67,false,false,0
ChIJm_d1z_tLW4YRFx9469vTOtA,PAZ Veterinary West,4.9,125,6,100,2.00,false,false,0
ChIJE8ux5mq1RIYRZaER6cbbVFM,West Lynn Veterinary Clinic,4.7,205,4,100,1.33,false,false,0
ChIJAcBlOEHLRIYRTaGqFBS5ds4,CityVet | Central Austin,5,154,13,100,4.33,false,false,0
